----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
  metabat.39         k__Bacteria (UID203)            5449        104            58         96    8    0   0   0   0       12.07            0.00               0.00          
  metabat.23         k__Bacteria (UID203)            5449        102            56         95    7    0   0   0   0       10.71            0.00               0.00          
  metabat.21         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0       10.50            0.00               0.00          
  metabat.27         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        9.48            0.00               0.00          
  metabat.46        s__algicola (UID2846)             47         571           303        471   100   0   0   0   0        8.64            0.00               0.00          
  metabat.60         k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        8.62            0.00               0.00          
  metabat.40         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.18         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.11         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.24         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0        6.90            0.00               0.00          
  metabat.1       o__Clostridiales (UID1212)         172         263           149        219    44   0   0   0   0        6.71            0.00               0.00          
  metabat.55         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        6.19            0.00               0.00          
  metabat.58         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        5.17            0.00               0.00          
  metabat.63             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.45             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.4              root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.54             root (UID1)                 5656         56            24         54    2    0   0   0   0        2.08            0.00               0.00          
  metabat.30         k__Bacteria (UID203)            5449        103            57        102    1    0   0   0   0        1.75            0.00               0.00          
  metabat.9              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.8              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.6              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.59             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.57             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.56             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.53             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.52             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.50             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.5              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.49             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.47             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.43             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.42             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.38             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.35             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.34             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.33             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.28             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.20             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.2              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.19         k__Bacteria (UID203)            5449        104            58        104    0    0   0   0   0        0.00            0.00               0.00          
  metabat.17             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.15             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.12             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
